"ID","Date","Site .","Transect","Elevation","Species",". only","Tag/ Clip","Indiv","Fate","Sex","Reprod","Mass","Bait","Trap No","tail","hindfoot","ear","Notes","SK notes"
85,"7/18/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",38.00,"102","102","ear tag","Male","Scrotal",14.00,"seed","R38",,,,,
86,"7/19/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",37.00,"102","102","recap","Male","Scrotal",,"seed","R37",,,,"escaped",
87,"7/20/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",37.00,"102","102","recap","Male","Scrotal",13.00,"pb","R37",,,,,
88,"7/18/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",26.00,"103","103","ear tag","Male","Non-scrot.",17.50,"seed","R26",,,,,
89,"7/19/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",25.00,"103","103","recap","Male","Non-scrot.",16.00,"seed","R25",,,,,
90,"7/20/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",25.00,"103","103","recap","Male","Non-scrot.",17.00,"pb","R25",,,,,"Noted as S, but other captures NS"
91,"7/19/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",32.00,"105","105","ear tag","Male","X",12.00,"pb","R32",,,,,"Noted as S and NS, repro unknowable"
92,"7/20/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",32.00,"105","105","recap","Male","X",11.50,"seed","R32",,,,,"Noted as S and NS, repro unknowable"
93,"7/16/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",5.00,"106","106","ear tag","Female","Reprod.",14.50,"seed","S5",,,,,
94,"7/19/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",4.00,"106","106","recap","Female","Reprod.",16.00,"seed","S4",,,,,
95,"7/20/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",4.00,"106","106","recap","Female","Reprod.",17.00,"pb","S4",,,,,
96,"7/16/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",6.00,"108","108","ear tag","Male","Scrotal",20.50,"seed","S6",,,,,
97,"7/19/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",8.00,"108","108","recap","Male","Scrotal",20.00,"seed","S8",,,,,
98,"7/18/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",3.00,"109","109","ear tag","Female","Reprod.",22.00,"pb","R3",,,,,
99,"7/19/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",5.00,"109","109","recap","Female","Reprod.",23.00,"pb","R5",,,,,
100,"7/18/2010 am","SylvanDale","North slope",1700.00,"Peromyscus maniculatus",4.00,"111","111","ear tag","Male","Scrotal",12.00,"pb","N4",,,,,
101,"7/19/2010 am","SylvanDale","North slope",1700.00,"Peromyscus maniculatus",2.00,"111","111","recap","Male","Scrotal",13.00,"seed","N2",,,,,
102,"7/18/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",32.00,"114","114","ear tag","Male","Scrotal",21.00,"pb","R32",,,,,
103,"7/20/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",33.00,"114","114","recap","Male","Scrotal",23.00,"pb","R33",,,,,
104,"7/18/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",11.00,"115","115","ear tag","Male","Scrotal",20.50,"seed","R11",,,,,
105,"7/19/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",11.00,"115","115","recap","Male","Scrotal",19.50,"seed","R11",,,,,
106,"7/16/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",19.00,"117","117","ear tag","Male","Scrotal",16.00,"seed","S19",,,,,
107,"7/19/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",17.00,"117","117","recap","Male","Scrotal",16.00,"pb","S17",,,,,"Noted as NS, but other captures S"
108,"7/20/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",19.00,"117","117","recap","Male","Scrotal",15.00,"pb","S19",,,,,
109,"7/18/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",29.00,"121","121","ear tag","Male","Non-scrot.",19.50,"pb","R29",,,,,
110,"7/16/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",26.00,"124","124","ear tag","Female","Reprod.",24.00,"seed","S26",,,,,
111,"7/18/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",19.00,"124","124","recap","Female","Reprod.",17.50,"seed","S19",,,,,
112,"7/20/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",25.00,"124","124","recap","Female","Reprod.",16.50,"seed","S25",,,,,
113,"7/16/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",25.00,"125","125","ear tag","Female","Reprod.",18.00,"pb","S25",,,,,
114,"7/18/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",27.00,"125","125","recap","Female","Reprod.",17.00,"seed","S27",,,,,
115,"7/19/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",27.00,"125","125","recap","Female","Reprod.",15.50,"seed","S27",,,,,
116,"7/20/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",26.00,"125","125","recap","Female","Reprod.",14.00,"pb","S26",,,,,"Noted as NR, but other captures R"
117,"7/19/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",16.00,"126","126","ear tag","Female","Non-reprod.",12.00,"seed","R16",,,,,
118,"7/19/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",48.00,"127","127","ear tag","Male","Scrotal",22.50,"pb","S48",,,,,
119,"7/16/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",24.00,"131","131","ear tag","Male","Non-scrot.",14.00,"pb","R24",,,,,
120,"7/17/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",23.00,"131","131","recap","Male","Non-scrot.",12.50,"seed","R23",,,,,
121,"7/19/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",23.00,"131","131","recap","Male","Non-scrot.",14.50,"pb","R23",,,,,
122,"7/19/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",10.00,"132","132","ear tag","Female","Reprod.",16.50,"pb","R10",,,,,
123,"7/20/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",11.00,"132","132","recap","Female","Reprod.",16.50,"pb","R11",,,,,
124,"7/17/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",10.00,"133","133","ear tag","Male","Scrotal",24.00,"seed","S10",88.00,22.00,19.00,,
125,"7/18/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",37.00,"136","136","ear tag","Female","Non-reprod.",11.50,"pb","S37",,,,,
126,"7/19/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",38.00,"136","136","recap","Female","Non-reprod.",12.00,"pb","S38",,,,,
127,"7/20/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",44.00,"136","136","recap","Female","Non-reprod.",10.00,"seed","S44",,,,,
128,"7/17/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",22.00,"137","137","ear tag","Male","Non-scrot.",23.00,"seed","S22",,,,,
129,"7/19/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",6.00,"138","138","ear tag","Male","Scrotal",18.50,"seed","S6",,,,,
130,"7/19/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",2.00,"141","141","ear tag","Male","Scrotal",25.00,"seed","S2",,,,,
131,"7/19/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",49.00,"144","144","ear tag","Male","Scrotal",20.00,"pb","S49",,,,,
132,"7/16/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",25.00,"147","147","ear tag","Female","X",12.50,"seed","R25",,,,,"Repro unknowable - one capter NR, one R"
133,"7/19/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",26.00,"147","147","recap","Female","X",12.00,"pb","R26",,,,,"Repro unknowable - one capter NR, one R"
134,"7/16/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",22.00,"150","150","ear tag","Male","Non-scrot.",16.00,"pb","R22",,,,,
135,"7/19/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",20.00,"150","150","recap","Male","Non-scrot.",16.00,"pb","R20",,,,,
136,"7/16/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",34.00,"151","151","ear tag","Male","Scrotal",15.50,"pb","S34",,,,,
137,"7/18/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",30.00,"151","151","recap","Male","Scrotal",14.50,"pb","S30",,,,,
138,"7/19/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",31.00,"151","151","recap","Male","Scrotal",12.50,"pb","S31",,,,,
139,"7/20/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",35.00,"151","151","recap","Male","Scrotal",13.00,"pb","S35",,,,,
140,"7/16/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",39.00,"155","155","ear tag","Male","Scrotal",15.00,"pb","S39",,,,,
141,"7/17/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",38.00,"155","155","recap","Male","Scrotal",14.50,"seed","S38",,,,,
142,"7/18/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",40.00,"155","155","recap","Male","Scrotal",16.00,"seed","S40",,,,,
143,"7/16/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",44.00,"156","156","ear tag","Male","Scrotal",18.50,"pb","S44",,,,,
144,"7/20/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",48.00,"156","156","recap","Male","Scrotal",19.00,"pb","S48",,,,,
145,"7/16/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",50.00,"159","159","ear tag","Male","Non-scrot.",19.50,"seed","S50",,,,"noted as 157, but 4 animals prior was also marked 157; this is probably tag #159; this makes sex incorrect (noted as preg female but other two caps NS male)",
146,"7/18/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",45.00,"159","159","recap","Male","Non-scrot.",17.50,"pb","S45",,,,,
147,"7/19/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",45.00,"159","159","recap","Male","Non-scrot.",16.00,"seed","S45",,,,,
148,"7/16/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",38.00,"160","160","ear tag","Female","Non-reprod.",10.50,"seed","S38",,,,,
149,"7/17/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",39.00,"160","160","recap","Female","Non-reprod.",11.00,"seed","S39",,,,,
150,"7/19/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",39.00,"160","160","recap","Female","Non-reprod.",12.00,"seed","S39",,,,,
151,"7/20/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",38.00,"160","160","recap","Female","Non-reprod.",11.00,"pb","S38",,,,,
152,"7/16/2010 am","SylvanDale","North slope",1700.00,"Peromyscus maniculatus",22.00,"161","161","ear tag","Male","Non-scrot.",14.50,"seed","N22",,,,,
153,"7/17/2010 am","SylvanDale","North slope",1700.00,"Peromyscus maniculatus",22.00,"161","161","recap","Male","Non-scrot.",13.00,"seed","N22",,,,,"Noted as S, but other captures are NS"
154,"7/20/2010 am","SylvanDale","North slope",1700.00,"Peromyscus maniculatus",21.00,"161","161","recap","Male","Non-scrot.",13.00,"seed","N21",,,,,
155,"7/16/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",18.00,"162","162","ear tag","Male","Scrotal",16.00,"pb","R18",,,,,
156,"7/18/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",12.00,"162","162","recap","Male","Scrotal",16.00,"pb","R12",,,,,
157,"7/19/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",13.00,"162","162","recap","Male","Scrotal",17.00,"pb","R13",,,,,
158,"7/20/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",12.00,"162","162","recap","Male","Scrotal",17.00,"pb","R12",,,,,
159,"7/19/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",22.00,"164","164","ear tag","Male","Non-scrot.",15.50,"pb","S22",,,,,
160,"7/20/2010 am","SylvanDale","South slope",1700.00,"Peromyscus maniculatus",30.00,"164","164","recap","Male","Non-scrot.",13.00,"pb","S30",,,,,
161,"7/16/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",4.00,"167","167","ear tag","Male","Scrotal",17.00,"seed","R4",,,,,
162,"7/17/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",2.00,"167","167","recap","Male","Scrotal",18.00,"seed","R2",,,,,
163,"7/18/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",4.00,"167","167","recap","Male","Scrotal",18.00,"pb","R4",,,,,"Noted as NS, but 3/5 captures are S"
164,"7/19/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",2.00,"167","167","recap","Male","Scrotal",18.00,"seed","R2",,,,,"Noted as NS, but 3/5 captures are S"
165,"7/20/2010 am","SylvanDale","Riparian",1700.00,"Peromyscus maniculatus",1.00,"167","167","recap","Male","Scrotal",17.00,"seed","R1",,,,,
166,"7/16/2010 am","SylvanDale","North slope",1700.00,"Peromyscus maniculatus",27.00,"168","168","ear tag","Female","Reprod.",22.50,"seed","N27",,,,,
