"ID","Date","Site .","Transect","Elevation","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes"
63,"7/2/2010 am","B1","Riparian","2600m","Sorex nanus","W9","d","Collected","X","X",,"seed",,"41",,,"ID verified with skull & dentition characteristics. Unlabeled bag: looks like B1 missing shrew; shrew covered with ants; probably from a trap or found dead on the ground (JHM remembers collecting a shrew at B1 during trapping from a live trap); tail measu"
64,"7/1/2010 am","B1","Rocky","2600m","Spermophilus lateralis","R4","e","--","X","X",,"seed","decided to big to weigh/tag and unlikely to recap",,,,
65,"7/2/2010 am","B1","Rocky","2600m","Spermophilus lateralis","R18","f","--","X","X",,"pb","decided to big to weigh/tag and unlikely to recap",,,,
66,"7/2/2010 am","B1","Rocky","2600m","Tamias minimus","R17","451","recap","Female","Reprod.",52.00,"pb",,,,,
67,"7/1/2010 am","B1","Rocky","2600m","Tamias minimus","R19","452","ear tag","Male","X",41.00,"pb",,,,,
68,"7/2/2010 am","B1","Rocky","2600m","Tamias minimus","F19","452","recap","Male","X",44.00,"pb",,,,,
69,"7/2/2010 am","B1","Rocky","2600m","Tamias minimus","R2","454","ear tag","Female","Non-reprod.",46.00,"seed",,,,,
70,"7/2/2010 am","B1","Riparian","2600m","Tamias minimus","W27","454","recap","Female","Non-reprod.",50.00,"pb",,"88","30","16",
71,"7/3/2010 am","B1","Riparian","2600m","Tamias minimus","W24","454","recap","Female","Non-reprod.",51.00,"pb","noted as male NS, but previous 2 captures were female NR",,,,
72,"7/2/2010 am","B1","Rocky","2600m","Tamias minimus","F29","455","ear tag","Female","Reprod.",51.50,"seed","(richie/john)",,,,
73,"7/3/2010 am","B1","Forest","2600m","Tamias minimus","F28","455","recap","Female","Reprod.",52.00,"pb",,,,,
74,"6/30/2010 am","B1","Riparian","2600m","Tamias minimus","W25","482","recap","Male","Non-scrotal",49.50,"seed","noted as female R, but other 3 captures (pms too) were male NS",,,,
75,"7/2/2010 am","B1","Riparian","2600m","Tamias minimus","W27","482","recap","Male","Non-scrotal",51.50,"seed",,,,,
76,"7/1/2010 am","B1","Rocky","2600m","Tamias minimus","R18","486","recap","Female","Reprod.",50.50,"seed",,,,,
77,"7/2/2010 am","B1","Riparian","2600m","Tamias minimus","W14","486","recap","Female","Reprod.",52.00,"seed",,,,,
78,"7/2/2010 am","B1","Rocky","2600m","Tamias minimus","R1","487","recap","Female","Reprod.",53.00,"pb",,,,,
79,"7/1/2010 am","B1","Rocky","2600m","Tamias minimus","R1","488","recap","Female","Non-reprod.",39.00,"seed",,,,,
81,"6/30/2010 am","B1","Rocky","2600m","Tamias minimus","R17","451","ear tag","Female","Reprod.",49.00,"seed",,,,,
82,"6/29/2010 am","B1","Riparian","2600m","Tamias minimus","W22","482b","ear tag","Female","Reprod.",54.00,"?",,,,,
