"ID","Date","Site .","Transect","Elevation","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","SK notes","tail","hindfoot","ear","SK Toe Clip Info"
48,"7/29/2010 am","Saddle","Forest",,"Peromyscus maniculatus","F75","c","new; no mark","Male","Non-scrot.",155,"seed",,,,,,
49,"7/26/2010 am","Saddle","Meadow",,"Phenacomys intermedius","M6","1000","toe clip","Female","Non-reprod.",13,"pb","small orange eggs covering edges of ears",,23.00,15.00,6.00,"1-1"
50,"7/27/2010 am","Saddle","Meadow",,"Phenacomys intermedius","M73","3000","toe clip","Male","Non-scrot.",12,"seed",,,23.00,14.00,12.00,"1-3"
51,"7/27/2010 am","Saddle","Meadow",,"Phenacomys intermedius","M17","4000","toe clip","Female","X",12,"pb",,,20.00,14.00,12.00,"1-4"
52,"7/29/2010 am","Saddle","Meadow",,"Phenacomys intermedius","M15","4000","recap","Female","X",12,"pb",,,,,,"1-4"
53,"7/28/2010 am","Saddle","Forest",,"Phenacomys intermedius","F51","0040","toe clip","Male","Non-scrot.",17,"pb",,,24.00,15.00,12.00,"3-4"
54,"7/29/2010 am","Saddle","Forest",,"Phenacomys intermedius","F28","d","new; no mark","Male","Scrotal",25,"seed",,,,,,
55,"7/28/2010 am","Saddle","Meadow",,"Sorex monticolus","M22","e","dead; collected","Female","Reprod.",4,"seed",,"ID verified with skull & dentition characteristics. Measured in field",,,,
56,"7/27/2010 am","Saddle","Forest",,"Tamias minimus","F75","118","ear tag","Male","Non-scrot.",42,"pb",,,,,,
57,"7/29/2010 am","Saddle","Forest",,"Tamias minimus","F70","118","recap","Male","Non-scrot.",45,"pb",,,,,,
58,"7/28/2010 am","Saddle","Forest",,"Tamias minimus","F68","160","ear tag","Female","Reprod.",52,"pb",,,,,,
59,"7/27/2010 am","Saddle","Meadow",,"Tamias minimus","M39","161","ear tag","Female","Reprod.",55,"pb",,,85.00,17.00,14.00,
60,"7/28/2010 am","Saddle","Meadow",,"Tamias minimus","M26","161","recap","Female","Reprod.",54,"pb",,,,,,
62,"7/27/2010 am","Saddle","Meadow",,"Tamias minimus","M9","f","dead; collected","Male","Non-scrot.",36,"seed","Found dead in trap","ID verified by skull measurements. Dead, collected. No ear tag",84.00,14.00,11.00,
63,"7/27/2010 am","Saddle","Forest",,"Tamias minimus","F58","g","new, released","Female","Non-reprod.",39,"pb","Was in a stupor in trap, taken to tundra lab and subsequently released on the Forest transect; ear tag?","This animal was new",,,,
64,"7/29/2010 am","Saddle","Forest",,"Tamias minimus","F72","h","new; no mark","Male","Non-scrot.",42,"pb",,,,,,
